UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO;DATA ATUALIZAÇÃO;CENSO;ESTADO;REGIÃO;CAPITAL;PAÍS
RO;11;15;Alta Floresta D'Oeste;21.558;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;23;Ariquemes;100.896;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;31;Cabixi;5.107;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;49;Cacoal;92.202;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;56;Cerejeiras;15.237;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;64;Colorado do Oeste;15.747;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;72;Corumbiara;7.503;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;80;Costa Marques;12.633;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;98;Espigão D'Oeste;29.722;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;106;Guajará-Mirim;39.396;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;114;Jaru;52.090;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;122;Ji-Paraná;136.825;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;130;Machadinho D'Oeste;30.626;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;148;Nova Brasilândia D'Oeste;17.355;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;155;Ouro Preto do Oeste;36.753;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;189;Pimenta Bueno;37.464;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;205;Porto Velho;461.748;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;254;Presidente Médici;19.316;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;262;Rio Crespo;3.476;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;288;Rolim de Moura;57.180;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;296;Santa Luzia D'Oeste;7.394;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;304;Vilhena;95.599;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;320;São Miguel do Guaporé;21.612;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;338;Nova Mamoré;25.452;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;346;Alvorada D'Oeste;13.092;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;379;Alto Alegre dos Parecis;13.023;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;403;Alto Paraíso;17.140;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;452;Buritis;28.178;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;502;Novo Horizonte do Oeste;7.653;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;601;Cacaulândia;4.157;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;700;Campo Novo de Rondônia;8.840;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;809;Candeias do Jamari;22.564;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;908;Castanheiras;3.269;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;924;Chupinguaia;9.351;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;940;Cujubim;14.338;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1005;Governador Jorge Teixeira;8.012;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1104;Itapuã do Oeste;9.465;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1203;Ministro Andreazza;6.440;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1302;Mirante da Serra;9.200;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1401;Monte Negro;11.966;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1435;Nova União;6.194;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1450;Parecis;3.953;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1468;Pimenteiras do Oeste;2.180;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1476;Primavera de Rondônia;3.071;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1484;São Felipe D'Oeste;5.259;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1492;São Francisco do Guaporé;16.302;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1500;Seringueiras;11.183;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1559;Teixeirópolis;4.284;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1609;Theobroma;9.253;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1708;Urupá;10.828;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1757;Vale do Anari;7.806;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
RO;11;1807;Vale do Paraíso;6.487;25/12/2022;2022;Rondonia;Norte;Porto Velho;Brasil
AC;12;13;Acrelândia;12.707;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;54;Assis Brasil;8.157;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;104;Brasiléia;25.786;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;138;Bujari;11.962;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;179;Capixaba;9.737;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;203;Cruzeiro do Sul;94.345;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;252;Epitaciolândia;18.697;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;302;Feijó;35.035;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;328;Jordão;11.105;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;336;Mâncio Lima;19.172;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;344;Manoel Urbano;12.246;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;351;Marechal Thaumaturgo;16.825;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;385;Plácido de Castro;16.313;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;393;Porto Walter;10.706;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;401;Rio Branco;364.368;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;427;Rodrigues Alves;16.072;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;435;Santa Rosa do Purus;7.672;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;450;Senador Guiomard;21.658;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;500;Sena Madureira;39.746;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;609;Tarauacá;43.072;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;708;Xapuri;18.181;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AC;12;807;Porto Acre;16.218;25/12/2022;2022;Acre;Norte;Rio Branco;Brasil
AM;13;29;Alvarães;15.916;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;60;Amaturá;10.814;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;86;Anamã;9.927;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;102;Anori;17.052;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;144;Apuí;21.403;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;201;Atalaia do Norte;15.440;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;300;Autazes;41.672;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;409;Barcelos;18.399;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;508;Barreirinha;30.990;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;607;Benjamin Constant;37.436;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;631;Beruri;20.807;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;680;Boa Vista do Ramos;24.018;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;706;Boca do Acre;35.964;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;805;Borba;33.209;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;839;Caapiranga;13.851;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;904;Canutama;17.362;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1001;Carauari;29.176;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1100;Careiro;30.819;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1159;Careiro da Várzea;19.615;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1209;Coari;71.130;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1308;Codajás;24.071;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1407;Eirunepé;33.173;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1506;Envira;17.034;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1605;Fonte Boa;27.692;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1654;Guajará;13.809;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1704;Humaitá;59.504;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1803;Ipixuna;24.387;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1852;Iranduba;59.767;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1902;Itacoatiara;103.826;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;1951;Itamarati;10.783;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2009;Itapiranga;10.183;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2108;Japurá;9.281;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2207;Juruá;10.501;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2306;Jutaí;25.048;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2405;Lábrea;47.003;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2504;Manacapuru;102.736;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2553;Manaquiri;17.333;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2603;Manaus;2.054.731;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2702;Manicoré;59.225;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
AM;13;2801;Maraã;15.706;25/12/2022;2022;Amazonas;Norte;Manaus;Brasil
